,term,rank,scores,counting,attention_average
10290,guitar,321.3980082809722,561.6608957717617,33464.0,0.016784033461981884
10083,great,290.1056573709294,531.6097186029219,23960.0,0.022187383914980048
23218,strings,270.18123630171857,342.15931968127916,21072.0,0.01623762906611993
9903,good,264.73659329845697,429.35612265072086,21752.0,0.019738696333703606
16330,one,248.44222802486388,367.6737923469318,25752.0,0.014277484946681105
26218,use,233.3737214557857,379.1199931729461,22392.0,0.01693104649754136
27071,well,225.6221473935327,355.9823460693042,18928.0,0.018807182273314887
13400,like,224.30219568463244,350.75891691366996,22968.0,0.015271635184329065
22308,sound,212.61866677304238,295.83104639930934,20992.0,0.014092561280454904
27555,works,185.7631699757691,263.1358602910368,10952.0,0.024026283810357634
18438,price,183.25350669838295,240.85716644243803,13152.0,0.018313349029990725
17210,pedal,169.33169678647397,284.3596505401474,22368.0,0.01271278838251732
19334,really,164.3581412020733,216.37665846758318,13272.0,0.01630324430888963
9686,get,163.3173386098281,198.91066477391723,15408.0,0.012909570662897017
27616,would,160.37060287466838,197.1170001084829,13872.0,0.014209703006666876
23100,strap,154.490816218229,166.81112923765977,8352.0,0.01997259689148225
17583,picks,153.41955194087762,174.16745062307746,7496.0,0.02323471859966348
15655,nice,153.03722903529734,218.31895796584286,10640.0,0.020518699056940117
19024,quality,151.1722031131788,189.0262105721995,10016.0,0.01887242517693685
13516,little,149.81649973600742,186.45366737766017,11864.0,0.015715919367638248
7192,easy,145.2838420477,172.58355647855387,8688.0,0.019864589834087693
6707,dont,142.18071999273286,0.0,0.0,
15193,much,138.92538519606117,172.91374016727968,11728.0,0.014743668158874462
12441,ive,136.4780059780648,0.0,0.0,
22756,stand,131.41158342206103,145.5257293334107,8408.0,0.01730800777038662
26233,used,129.84752937435974,157.75267478166643,10272.0,0.015357542326875626
2790,bought,128.3551069569771,180.1912680382011,8424.0,0.02139022650026129
823,amp,124.8730277126293,145.76165354064142,14640.0,0.009956397099770588
11510,im,122.67455393809549,157.4593447043535,10120.0,0.015559223785015168
2319,better,120.99832411287301,132.38247959822002,9656.0,0.01370986739832436
24725,time,120.74086057503975,133.21475818416548,9104.0,0.014632552524622746
3270,buy,118.81940594920302,121.89805354513373,7296.0,0.01670751830388346
14504,mic,115.11948435485988,144.43106397284282,9600.0,0.015044902497171128
3330,cable,113.48898925580332,115.46717650048959,5992.0,0.019270223047478236
18616,product,113.03095767275117,128.00242878499193,6696.0,0.019116252805405007
10366,guitars,111.84495075980006,119.46864424473824,7856.0,0.015207312149279308
27517,work,110.8012212942989,125.12468416794582,7304.0,0.017130980855414268
25532,tuner,107.99652483436185,0.0,0.0,
713,also,106.16255200124702,110.8951016305964,9768.0,0.01135289738232969
26306,using,105.2269411123247,116.8807172173565,8216.0,0.01422598797679607
23195,string,105.08947650732009,108.63340675765357,8008.0,0.013565610234472225
13758,love,104.60693567050578,130.96191606221691,5816.0,0.022517523394466457
15525,need,104.3022616069847,113.13415439198434,7856.0,0.014400987066189452
24918,tone,103.36727648555,94.76312467852767,8496.0,0.011153851774779623
9984,got,102.552870753316,123.83349287152669,6680.0,0.018537948034659683
17801,play,102.33467007778135,113.34758987068926,8000.0,0.014168448733836157
17556,pick,101.81013932661202,115.2100085688362,6496.0,0.01773553087574449
13907,made,100.10456418354711,109.5411570146789,6264.0,0.01748741331651962
19449,recommend,99.81242029491443,104.58927846959705,5424.0,0.019282684083627773
176,acoustic,97.47677447584945,112.69288588256313,6824.0,0.016514197813974667
2291,best,94.99391362503766,98.42566168457415,5672.0,0.017352902271610394
17840,playing,93.70608621136962,92.78858867062809,7160.0,0.012959300093663141
20247,right,89.92167169589413,91.82142966746687,5944.0,0.015447750617003176
17252,pedals,89.46333468251267,0.0,0.0,
